binned_latitude,binned_longitude,hour,type,subtype,count
41.97,-87.75,22:00,Road Closed,Event,197
41.78,-87.63,20:00,Hazard,Weather,196
41.8,-87.63,23:00,Hazard,Weather,196
41.82,-87.63,18:00,Hazard,Weather,196
41.89,-87.65,22:00,Road Closed,Event,195
41.69,-87.6,02:00,Road Closed,Event,195
41.95,-87.73,12:00,Jam,Heavy Traffic,195
41.69,-87.6,22:00,Road Closed,Event,194
41.71,-87.64,06:00,Road Closed,Event,194
41.71,-87.64,15:00,Road Closed,Event,194
41.9,-87.66,15:00,Jam,Heavy Traffic,194
41.96,-87.74,14:00,Jam,Stand-Still Traffic,194
41.88,-87.65,10:00,Road Closed,Event,194
41.89,-87.65,10:00,Road Closed,Event,194
41.98,-87.75,19:00,Jam,Heavy Traffic,193
41.89,-87.65,23:00,Hazard,Weather,193
41.89,-87.65,17:00,Hazard,Weather,193
41.71,-87.64,14:00,Road Closed,Event,193
41.85,-87.63,20:00,Hazard,Weather,193
41.79,-87.63,19:00,Hazard,Weather,193
41.69,-87.6,10:00,Road Closed,Event,192
41.88,-87.65,16:00,Jam,Heavy Traffic,192
41.88,-87.65,03:00,Road Closed,Event,192
41.81,-87.63,21:00,Hazard,Weather,192
41.83,-87.63,20:00,Hazard,Weather,192
41.84,-87.63,02:00,Road Closed,Event,192
41.84,-87.63,14:00,Road Closed,Event,192
41.85,-87.63,21:00,Hazard,Weather,191
41.89,-87.65,18:00,Hazard,Weather,191
41.84,-87.63,15:00,Road Closed,Event,191
41.71,-87.64,03:00,Road Closed,Event,191
41.84,-87.63,22:00,Road Closed,Event,191
41.84,-87.63,10:00,Road Closed,Event,191
41.71,-87.64,23:00,Road Closed,Event,191
41.93,-87.69,13:00,Jam,Stand-Still Traffic,191
41.98,-87.78,23:00,Jam,Stand-Still Traffic,191
41.71,-87.64,10:00,Road Closed,Event,190
41.71,-87.64,22:00,Road Closed,Event,190
41.97,-87.76,17:00,Jam,Heavy Traffic,190
41.71,-87.64,02:00,Road Closed,Event,190
41.97,-87.76,16:00,Jam,Heavy Traffic,190
41.69,-87.6,15:00,Road Closed,Event,190
41.71,-87.64,11:00,Road Closed,Event,189
41.97,-87.75,22:00,Hazard,Weather,189
41.89,-87.64,23:00,Jam,Stand-Still Traffic,189
41.84,-87.63,03:00,Road Closed,Event,188
41.94,-87.71,23:00,Jam,Heavy Traffic,188
41.89,-87.65,15:00,Road Closed,Event,188
41.95,-87.72,13:00,Jam,Heavy Traffic,188
41.94,-87.71,18:00,Jam,Heavy Traffic,188
41.94,-87.71,19:00,Jam,Heavy Traffic,188
41.88,-87.65,15:00,Road Closed,Event,188
41.71,-87.64,07:00,Road Closed,Event,188
41.89,-87.65,22:00,Hazard,Weather,188
41.89,-87.65,19:00,Road Closed,Event,188
41.9,-87.66,23:00,Hazard,Weather,188
41.9,-87.66,21:00,Accident,Major,188
41.84,-87.63,16:00,Hazard,Weather,187
41.89,-87.61,23:00,Jam,Stand-Still Traffic,187
41.88,-87.65,19:00,Road Closed,Event,187
41.89,-87.65,20:00,Hazard,Weather,187
41.98,-87.78,19:00,Jam,Heavy Traffic,187
41.84,-87.63,07:00,Road Closed,Event,187
41.97,-87.75,19:00,Road Closed,Event,187
41.92,-87.67,13:00,Jam,Stand-Still Traffic,186
41.89,-87.65,03:00,Road Closed,Event,186
41.69,-87.6,03:00,Road Closed,Event,186
41.88,-87.65,23:00,Road Closed,Event,186
41.88,-87.65,00:00,Jam,Heavy Traffic,186
41.84,-87.63,11:00,Road Closed,Event,186
41.69,-87.6,07:00,Road Closed,Event,185
41.92,-87.68,13:00,Jam,Stand-Still Traffic,185
41.94,-87.71,16:00,Jam,Heavy Traffic,185
41.85,-87.64,18:00,Jam,Heavy Traffic,184
41.88,-87.65,11:00,Road Closed,Event,184
41.84,-87.63,23:00,Road Closed,Event,184
41.97,-87.75,23:00,Road Closed,Event,184
41.89,-87.65,23:00,Road Closed,Event,184
41.89,-87.65,11:00,Road Closed,Event,184
41.69,-87.6,11:00,Road Closed,Event,184
41.83,-87.63,18:00,Hazard,Weather,183
41.95,-87.73,13:00,Jam,Heavy Traffic,183
41.69,-87.6,23:00,Road Closed,Event,183
41.93,-87.69,23:00,Jam,Heavy Traffic,183
41.78,-87.63,19:00,Hazard,Weather,183
41.93,-87.69,12:00,Jam,Heavy Traffic,182
41.96,-87.74,23:00,Jam,Heavy Traffic,182
41.97,-87.76,19:00,Jam,Stand-Still Traffic,182
41.97,-87.75,03:00,Road Closed,Event,182
41.97,-87.75,15:00,Road Closed,Event,182
41.87,-87.62,19:00,Jam,Stand-Still Traffic,182
41.97,-87.75,07:00,Road Closed,Event,181
41.85,-87.64,20:00,Jam,Stand-Still Traffic,181
41.89,-87.65,07:00,Road Closed,Event,181
41.97,-87.76,18:00,Jam,Stand-Still Traffic,180
41.97,-87.75,11:00,Road Closed,Event,180
41.88,-87.65,00:00,Jam,Stand-Still Traffic,180
41.83,-87.63,14:00,Hazard,Weather,180
41.87,-87.73,14:00,Hazard,Weather,179
41.81,-87.63,14:00,Hazard,Weather,179
41.81,-87.63,22:00,Hazard,Weather,179
41.88,-87.65,07:00,Road Closed,Event,179
41.98,-87.75,19:00,Jam,Stand-Still Traffic,179
41.97,-87.75,18:00,Hazard,Weather,178
